529,What is the maximum amount of money I can contribute to a 529 plan per year.
529,Do gift-tax rules apply to college 529 savings plans?
529,What happens to the money in a 529 plan if my children do not go to college?
529,"Should I use my own state’s 529 plan, or an out-of-state 529 plan"
529,"Section 529 education savings plan assets can be withdrawn tax free to pay for tuition, fees, room and board, and books for students at most accredited public or private colleges, universities, community colleges, graduate schools, and vocational and international colleges. If Jim uses the funds to pay for clothes, he must pay income tax on the withdrawal."
529,"Prepaid tuition plans cover tuition costs and mandatory fees only. They do not cover room, board, or book expenses."
529,529 plans are tax-advantaged accounts that can be used to cover educational expenses from kindergarten through graduate school
529,There are two basic types of 529 plans: savings plans and prepaid tuition plans.
529,"Although 529 plans take their name from Section 529 of the federal tax code, the plans themselves are administered by the 50 states and District of Columbia. Anyone can open a 529 account, but they are typically established by parents or grandparents on behalf of a child or grandchild, who is the account's beneficiary. In some states, the person who funds the account may be eligible for a state tax deduction for their contributions."
529,"The earnings in a 529 plan are exempt from federal and state income taxes, provided the money is used for qualified educational expenses. Any other withdrawals are subject to taxes plus a 10% penalty, with exceptions for certain circumstances, such as death or disability."
529,"If you have money left over in a 529 plan—say the beneficiary gets a substantial scholarship or decides not to go to college at all—you'll have several options. One is to change the beneficiary on the account to another relative, as financial advisor Jay Murray describes in the box above. Another is to keep the current beneficiary in case they change their mind about attending college or later go on to graduate school. If worse comes to worse, you can always cash in the account and pay the taxes and 10% penalty."
